"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Nov 25 16:30:15 GMT 2024","Mon Nov 25 16:30:43 GMT 2024","28330","Surefire suite","Surefire test","com.example.wtf_workshop.ui.RunBuildTest","com.example.wtf_workshop.ui.RunBuildTest","userRunsBuildTest","User should be able to run build type",""
"broken","Mon Nov 25 16:31:12 GMT 2024","Mon Nov 25 16:31:53 GMT 2024","40732","Surefire suite","Surefire test","com.example.wtf_workshop.ui.CreateBuildTypeTest","com.example.wtf_workshop.ui.CreateBuildTypeTest","userCreatesBuildTypeTest","User should be able to create build type",""
"passed","Mon Nov 25 16:32:01 GMT 2024","Mon Nov 25 16:32:05 GMT 2024","4462","Surefire suite","Surefire test","com.example.wtf_workshop.ui.SearchProjectTest","com.example.wtf_workshop.ui.SearchProjectTest","userSearchesProjectByNameTest","User should be able to search for a project by its name",""
"passed","Mon Nov 25 16:30:44 GMT 2024","Mon Nov 25 16:31:01 GMT 2024","17160","Surefire suite","Surefire test","com.example.wtf_workshop.ui.CreateProjectTest","com.example.wtf_workshop.ui.CreateProjectTest","userCreatesProjectTest","User should be able to create project",""
"passed","Mon Nov 25 16:29:22 GMT 2024","Mon Nov 25 16:30:03 GMT 2024","40510","Surefire suite","Surefire test","com.example.wtf_workshop.api.SetupAgentTest","com.example.wtf_workshop.api.SetupAgentTest","authTeamCityAgentTest","authTeamCityAgentTest",""
"passed","Mon Nov 25 16:31:01 GMT 2024","Mon Nov 25 16:31:12 GMT 2024","10690","Surefire suite","Surefire test","com.example.wtf_workshop.ui.CreateProjectTest","com.example.wtf_workshop.ui.CreateProjectTest","userCreatesProjectWithoutNameTest","User should not na able to create project without name",""
"passed","Mon Nov 25 16:31:53 GMT 2024","Mon Nov 25 16:32:00 GMT 2024","7442","Surefire suite","Surefire test","com.example.wtf_workshop.ui.CreateBuildTypeTest","com.example.wtf_workshop.ui.CreateBuildTypeTest","userCreatesProjectWithoutNameTest","User should not na able to create build type without name",""
