"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Nov 23 21:19:13 GMT 2024","Sat Nov 23 21:19:14 GMT 2024","503","Surefire suite","Surefire test","com.example.wtf_workshop.api.BuildTypeTest","com.example.wtf_workshop.api.BuildTypeTest","userCreatesTwoBuildTypesWithTheSameIdTest","User should not be able to create two build types with the same id",""
"passed","Sat Nov 23 21:19:14 GMT 2024","Sat Nov 23 21:19:14 GMT 2024","401","Surefire suite","Surefire test","com.example.wtf_workshop.api.ProjectTest","com.example.wtf_workshop.api.ProjectTest","userSearchProjectByNameTest","User should be able to search for a project by its name",""
"passed","Sat Nov 23 21:19:11 GMT 2024","Sat Nov 23 21:19:12 GMT 2024","1007","Surefire suite","Surefire test","com.example.wtf_workshop.api.BuildTypeTest","com.example.wtf_workshop.api.BuildTypeTest","projectAdminCreatesBuildTypeTest","Project admin should be able to create build type for their project",""
"passed","Sat Nov 23 21:19:09 GMT 2024","Sat Nov 23 21:19:11 GMT 2024","1847","Surefire suite","Surefire test","com.example.wtf_workshop.api.BuildTypeTest","com.example.wtf_workshop.api.BuildTypeTest","projectAdminCreateBuildTypeForAnotherUserProjectTest","Project admin should not be able to create build type for not their project",""
"broken","Sat Nov 23 21:19:14 GMT 2024","Sat Nov 23 21:19:21 GMT 2024","6399","Surefire suite","Surefire test","com.example.wtf_workshop.api.BuildTest","com.example.wtf_workshop.api.BuildTest","userStartsBuildTest","User should be able to start build",""
"passed","Sat Nov 23 21:19:13 GMT 2024","Sat Nov 23 21:19:13 GMT 2024","406","Surefire suite","Surefire test","com.example.wtf_workshop.api.BuildTypeTest","com.example.wtf_workshop.api.BuildTypeTest","userCreatesBuildTypeTest","User should be able to create build type",""
"passed","Sat Nov 23 21:18:02 GMT 2024","Sat Nov 23 21:18:52 GMT 2024","49745","Surefire suite","Surefire test","com.example.wtf_workshop.ui.SetupServerTest","com.example.wtf_workshop.ui.SetupServerTest","setupTeamcityServerTest","setupTeamcityServerTest",""
