"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sat Nov 23 21:47:28 GMT 2024","Sat Nov 23 21:47:43 GMT 2024","15325","Surefire suite","Surefire test","com.example.wtf_workshop.ui.CreateBuildTypeTest","com.example.wtf_workshop.ui.CreateBuildTypeTest","userCreatesBuildTypeTest","User should be able to create build type",""
"broken","Sat Nov 23 21:46:54 GMT 2024","Sat Nov 23 21:47:28 GMT 2024","33748","Surefire suite","Surefire test","com.example.wtf_workshop.ui.CreateProjectTest","com.example.wtf_workshop.ui.CreateProjectTest","userCreatesProjectWithoutNameTest","User should not na able to create project without name",""
"passed","Sat Nov 23 21:47:51 GMT 2024","Sat Nov 23 21:47:57 GMT 2024","6065","Surefire suite","Surefire test","com.example.wtf_workshop.ui.SearchProjectTest","com.example.wtf_workshop.ui.SearchProjectTest","userSearchesProjectByNameTest","User should be able to search for a project by its name",""
"passed","Sat Nov 23 21:47:44 GMT 2024","Sat Nov 23 21:47:50 GMT 2024","6671","Surefire suite","Surefire test","com.example.wtf_workshop.ui.CreateBuildTypeTest","com.example.wtf_workshop.ui.CreateBuildTypeTest","userCreatesProjectWithoutNameTest","User should not na able to create build type without name",""
"broken","Sat Nov 23 21:45:33 GMT 2024","Sat Nov 23 21:46:18 GMT 2024","44529","Surefire suite","Surefire test","com.example.wtf_workshop.ui.RunBuildTest","com.example.wtf_workshop.ui.RunBuildTest","userRunsBuildTest","User should be able to run build type",""
"passed","Sat Nov 23 21:44:26 GMT 2024","Sat Nov 23 21:45:20 GMT 2024","53899","Surefire suite","Surefire test","com.example.wtf_workshop.ui.SetupServerTest","com.example.wtf_workshop.ui.SetupServerTest","setupTeamcityServerTest","setupTeamcityServerTest",""
"broken","Sat Nov 23 21:46:18 GMT 2024","Sat Nov 23 21:46:54 GMT 2024","35624","Surefire suite","Surefire test","com.example.wtf_workshop.ui.CreateProjectTest","com.example.wtf_workshop.ui.CreateProjectTest","userCreatesProjectTest","User should be able to create project",""
