"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon Nov 25 09:02:08 GMT 2024","Mon Nov 25 09:02:14 GMT 2024","6460","Surefire suite","Surefire test","com.example.wtf_workshop.api.BuildTest","com.example.wtf_workshop.api.BuildTest","userStartsBuildTest","User should be able to start build",""
"passed","Mon Nov 25 09:02:03 GMT 2024","Mon Nov 25 09:02:05 GMT 2024","1864","Surefire suite","Surefire test","com.example.wtf_workshop.api.BuildTypeTest","com.example.wtf_workshop.api.BuildTypeTest","projectAdminCreateBuildTypeForAnotherUserProjectTest","Project admin should not be able to create build type for not their project",""
"passed","Mon Nov 25 09:02:06 GMT 2024","Mon Nov 25 09:02:07 GMT 2024","487","Surefire suite","Surefire test","com.example.wtf_workshop.api.BuildTypeTest","com.example.wtf_workshop.api.BuildTypeTest","userCreatesBuildTypeTest","User should be able to create build type",""
"passed","Mon Nov 25 09:02:07 GMT 2024","Mon Nov 25 09:02:08 GMT 2024","353","Surefire suite","Surefire test","com.example.wtf_workshop.api.ProjectTest","com.example.wtf_workshop.api.ProjectTest","userSearchProjectByNameTest","User should be able to search for a project by its name",""
"passed","Mon Nov 25 09:02:07 GMT 2024","Mon Nov 25 09:02:07 GMT 2024","382","Surefire suite","Surefire test","com.example.wtf_workshop.api.BuildTypeTest","com.example.wtf_workshop.api.BuildTypeTest","userCreatesTwoBuildTypesWithTheSameIdTest","User should not be able to create two build types with the same id",""
"broken","Mon Nov 25 09:01:16 GMT 2024","Mon Nov 25 09:01:46 GMT 2024","30656","Surefire suite","Surefire test","com.example.wtf_workshop.api.SetupAgentTest","com.example.wtf_workshop.api.SetupAgentTest","authTeamCityAgentTest","authTeamCityAgentTest",""
"passed","Mon Nov 25 09:02:05 GMT 2024","Mon Nov 25 09:02:06 GMT 2024","771","Surefire suite","Surefire test","com.example.wtf_workshop.api.BuildTypeTest","com.example.wtf_workshop.api.BuildTypeTest","projectAdminCreatesBuildTypeTest","Project admin should be able to create build type for their project",""
