"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Nov 25 15:36:18 GMT 2024","Mon Nov 25 15:36:27 GMT 2024","9402","Surefire suite","Surefire test","com.example.wtf_workshop.ui.CreateBuildTypeTest","com.example.wtf_workshop.ui.CreateBuildTypeTest","userCreatesBuildTypeTest","User should be able to create build type",""
"passed","Mon Nov 25 15:35:52 GMT 2024","Mon Nov 25 15:36:09 GMT 2024","17139","Surefire suite","Surefire test","com.example.wtf_workshop.ui.CreateProjectTest","com.example.wtf_workshop.ui.CreateProjectTest","userCreatesProjectTest","User should be able to create project",""
"passed","Mon Nov 25 15:36:09 GMT 2024","Mon Nov 25 15:36:17 GMT 2024","8498","Surefire suite","Surefire test","com.example.wtf_workshop.ui.CreateProjectTest","com.example.wtf_workshop.ui.CreateProjectTest","userCreatesProjectWithoutNameTest","User should not na able to create project without name",""
"passed","Mon Nov 25 15:36:27 GMT 2024","Mon Nov 25 15:36:35 GMT 2024","7996","Surefire suite","Surefire test","com.example.wtf_workshop.ui.CreateBuildTypeTest","com.example.wtf_workshop.ui.CreateBuildTypeTest","userCreatesProjectWithoutNameTest","User should not na able to create build type without name",""
"passed","Mon Nov 25 15:36:36 GMT 2024","Mon Nov 25 15:36:41 GMT 2024","5009","Surefire suite","Surefire test","com.example.wtf_workshop.ui.SearchProjectTest","com.example.wtf_workshop.ui.SearchProjectTest","userSearchesProjectByNameTest","User should be able to search for a project by its name",""
"failed","Mon Nov 25 15:34:41 GMT 2024","Mon Nov 25 15:35:51 GMT 2024","70178","Surefire suite","Surefire test","com.example.wtf_workshop.ui.RunBuildTest","com.example.wtf_workshop.ui.RunBuildTest","userRunsBuildTest","User should be able to run build type",""
"passed","Mon Nov 25 15:34:22 GMT 2024","Mon Nov 25 15:34:28 GMT 2024","6196","Surefire suite","Surefire test","com.example.wtf_workshop.api.SetupAgentTest","com.example.wtf_workshop.api.SetupAgentTest","authTeamCityAgentTest","authTeamCityAgentTest",""
