"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Nov 25 06:03:19 GMT 2024","Mon Nov 25 06:03:25 GMT 2024","5498","Surefire suite","Surefire test","com.example.wtf_workshop.ui.SearchProjectTest","com.example.wtf_workshop.ui.SearchProjectTest","userSearchesProjectByNameTest","User should be able to search for a project by its name",""
"passed","Mon Nov 25 06:02:59 GMT 2024","Mon Nov 25 06:03:11 GMT 2024","11920","Surefire suite","Surefire test","com.example.wtf_workshop.ui.CreateBuildTypeTest","com.example.wtf_workshop.ui.CreateBuildTypeTest","userCreatesBuildTypeTest","User should be able to create build type",""
"passed","Mon Nov 25 06:02:47 GMT 2024","Mon Nov 25 06:02:59 GMT 2024","12128","Surefire suite","Surefire test","com.example.wtf_workshop.ui.CreateProjectTest","com.example.wtf_workshop.ui.CreateProjectTest","userCreatesProjectWithoutNameTest","User should not na able to create project without name",""
"passed","Mon Nov 25 06:03:12 GMT 2024","Mon Nov 25 06:03:19 GMT 2024","7480","Surefire suite","Surefire test","com.example.wtf_workshop.ui.CreateBuildTypeTest","com.example.wtf_workshop.ui.CreateBuildTypeTest","userCreatesProjectWithoutNameTest","User should not na able to create build type without name",""
"passed","Mon Nov 25 05:59:49 GMT 2024","Mon Nov 25 06:00:42 GMT 2024","52146","Surefire suite","Surefire test","com.example.wtf_workshop.ui.SetupServerTest","com.example.wtf_workshop.ui.SetupServerTest","setupTeamcityServerTest","setupTeamcityServerTest",""
"broken","Mon Nov 25 06:01:45 GMT 2024","Mon Nov 25 06:02:23 GMT 2024","37569","Surefire suite","Surefire test","com.example.wtf_workshop.ui.RunBuildTest","com.example.wtf_workshop.ui.RunBuildTest","userRunsBuildTest","User should be able to run build type",""
"failed","Mon Nov 25 06:02:23 GMT 2024","Mon Nov 25 06:02:47 GMT 2024","23372","Surefire suite","Surefire test","com.example.wtf_workshop.ui.CreateProjectTest","com.example.wtf_workshop.ui.CreateProjectTest","userCreatesProjectTest","User should be able to create project",""
