"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Nov 25 14:08:09 GMT 2024","Mon Nov 25 14:08:15 GMT 2024","6331","Surefire suite","Surefire test","com.example.wtf_workshop.ui.SearchProjectTest","com.example.wtf_workshop.ui.SearchProjectTest","userSearchesProjectByNameTest","User should be able to search for a project by its name",""
"passed","Mon Nov 25 14:06:53 GMT 2024","Mon Nov 25 14:07:21 GMT 2024","28135","Surefire suite","Surefire test","com.example.wtf_workshop.ui.RunBuildTest","com.example.wtf_workshop.ui.RunBuildTest","userRunsBuildTest","User should be able to run build type",""
"passed","Mon Nov 25 14:07:59 GMT 2024","Mon Nov 25 14:08:08 GMT 2024","9327","Surefire suite","Surefire test","com.example.wtf_workshop.ui.CreateBuildTypeTest","com.example.wtf_workshop.ui.CreateBuildTypeTest","userCreatesProjectWithoutNameTest","User should not na able to create build type without name",""
"passed","Mon Nov 25 14:07:22 GMT 2024","Mon Nov 25 14:07:39 GMT 2024","17062","Surefire suite","Surefire test","com.example.wtf_workshop.ui.CreateProjectTest","com.example.wtf_workshop.ui.CreateProjectTest","userCreatesProjectTest","User should be able to create project",""
"passed","Mon Nov 25 14:07:48 GMT 2024","Mon Nov 25 14:07:59 GMT 2024","11403","Surefire suite","Surefire test","com.example.wtf_workshop.ui.CreateBuildTypeTest","com.example.wtf_workshop.ui.CreateBuildTypeTest","userCreatesBuildTypeTest","User should be able to create build type",""
"passed","Mon Nov 25 14:06:02 GMT 2024","Mon Nov 25 14:06:41 GMT 2024","39299","Surefire suite","Surefire test","com.example.wtf_workshop.api.SetupAgentTest","com.example.wtf_workshop.api.SetupAgentTest","authTeamCityAgentTest","authTeamCityAgentTest",""
"passed","Mon Nov 25 14:07:39 GMT 2024","Mon Nov 25 14:07:47 GMT 2024","8427","Surefire suite","Surefire test","com.example.wtf_workshop.ui.CreateProjectTest","com.example.wtf_workshop.ui.CreateProjectTest","userCreatesProjectWithoutNameTest","User should not na able to create project without name",""
