"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Nov 25 06:01:59 GMT 2024","Mon Nov 25 06:01:59 GMT 2024","502","Surefire suite","Surefire test","com.example.wtf_workshop.api.BuildTypeTest","com.example.wtf_workshop.api.BuildTypeTest","userCreatesBuildTypeTest","User should be able to create build type",""
"broken","Mon Nov 25 06:02:01 GMT 2024","Mon Nov 25 06:02:08 GMT 2024","7195","Surefire suite","Surefire test","com.example.wtf_workshop.api.BuildTest","com.example.wtf_workshop.api.BuildTest","userStartsBuildTest","User should be able to start build",""
"passed","Mon Nov 25 06:02:00 GMT 2024","Mon Nov 25 06:02:00 GMT 2024","531","Surefire suite","Surefire test","com.example.wtf_workshop.api.BuildTypeTest","com.example.wtf_workshop.api.BuildTypeTest","userCreatesTwoBuildTypesWithTheSameIdTest","User should not be able to create two build types with the same id",""
"passed","Mon Nov 25 06:01:57 GMT 2024","Mon Nov 25 06:01:59 GMT 2024","1414","Surefire suite","Surefire test","com.example.wtf_workshop.api.BuildTypeTest","com.example.wtf_workshop.api.BuildTypeTest","projectAdminCreatesBuildTypeTest","Project admin should be able to create build type for their project",""
"passed","Mon Nov 25 05:59:53 GMT 2024","Mon Nov 25 06:00:47 GMT 2024","53350","Surefire suite","Surefire test","com.example.wtf_workshop.ui.SetupServerTest","com.example.wtf_workshop.ui.SetupServerTest","setupTeamcityServerTest","setupTeamcityServerTest",""
"passed","Mon Nov 25 06:01:54 GMT 2024","Mon Nov 25 06:01:57 GMT 2024","2247","Surefire suite","Surefire test","com.example.wtf_workshop.api.BuildTypeTest","com.example.wtf_workshop.api.BuildTypeTest","projectAdminCreateBuildTypeForAnotherUserProjectTest","Project admin should not be able to create build type for not their project",""
"passed","Mon Nov 25 06:02:01 GMT 2024","Mon Nov 25 06:02:01 GMT 2024","385","Surefire suite","Surefire test","com.example.wtf_workshop.api.ProjectTest","com.example.wtf_workshop.api.ProjectTest","userSearchProjectByNameTest","User should be able to search for a project by its name",""
