"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Nov 25 06:14:26 GMT 2024","Mon Nov 25 06:14:28 GMT 2024","2133","Surefire suite","Surefire test","com.example.wtf_workshop.api.BuildTypeTest","com.example.wtf_workshop.api.BuildTypeTest","projectAdminCreateBuildTypeForAnotherUserProjectTest","Project admin should not be able to create build type for not their project",""
"passed","Mon Nov 25 06:14:31 GMT 2024","Mon Nov 25 06:14:32 GMT 2024","393","Surefire suite","Surefire test","com.example.wtf_workshop.api.ProjectTest","com.example.wtf_workshop.api.ProjectTest","userSearchProjectByNameTest","User should be able to search for a project by its name",""
"passed","Mon Nov 25 06:14:30 GMT 2024","Mon Nov 25 06:14:30 GMT 2024","434","Surefire suite","Surefire test","com.example.wtf_workshop.api.BuildTypeTest","com.example.wtf_workshop.api.BuildTypeTest","userCreatesBuildTypeTest","User should be able to create build type",""
"broken","Mon Nov 25 06:14:32 GMT 2024","Mon Nov 25 06:14:38 GMT 2024","6680","Surefire suite","Surefire test","com.example.wtf_workshop.api.BuildTest","com.example.wtf_workshop.api.BuildTest","userStartsBuildTest","User should be able to start build",""
"passed","Mon Nov 25 06:14:28 GMT 2024","Mon Nov 25 06:14:29 GMT 2024","1311","Surefire suite","Surefire test","com.example.wtf_workshop.api.BuildTypeTest","com.example.wtf_workshop.api.BuildTypeTest","projectAdminCreatesBuildTypeTest","Project admin should be able to create build type for their project",""
"failed","Mon Nov 25 06:14:08 GMT 2024","Mon Nov 25 06:14:08 GMT 2024","200","Surefire suite","Surefire test","com.example.wtf_workshop.api.SetupAgentTest","com.example.wtf_workshop.api.SetupAgentTest","authTeamCityAgentTest","authTeamCityAgentTest",""
"passed","Mon Nov 25 06:14:31 GMT 2024","Mon Nov 25 06:14:31 GMT 2024","433","Surefire suite","Surefire test","com.example.wtf_workshop.api.BuildTypeTest","com.example.wtf_workshop.api.BuildTypeTest","userCreatesTwoBuildTypesWithTheSameIdTest","User should not be able to create two build types with the same id",""
