"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Nov 25 13:07:19 GMT 2024","Mon Nov 25 13:07:57 GMT 2024","38388","Surefire suite","Surefire test","com.example.wtf_workshop.api.SetupAgentTest","com.example.wtf_workshop.api.SetupAgentTest","authTeamCityAgentTest","authTeamCityAgentTest",""
"failed","Mon Nov 25 13:08:07 GMT 2024","Mon Nov 25 13:08:33 GMT 2024","26003","Surefire suite","Surefire test","com.example.wtf_workshop.ui.RunBuildTest","com.example.wtf_workshop.ui.RunBuildTest","userRunsBuildTest","User should be able to run build type",""
"passed","Mon Nov 25 13:09:00 GMT 2024","Mon Nov 25 13:09:11 GMT 2024","10867","Surefire suite","Surefire test","com.example.wtf_workshop.ui.CreateBuildTypeTest","com.example.wtf_workshop.ui.CreateBuildTypeTest","userCreatesBuildTypeTest","User should be able to create build type",""
"passed","Mon Nov 25 13:08:34 GMT 2024","Mon Nov 25 13:08:51 GMT 2024","16966","Surefire suite","Surefire test","com.example.wtf_workshop.ui.CreateProjectTest","com.example.wtf_workshop.ui.CreateProjectTest","userCreatesProjectTest","User should be able to create project",""
"passed","Mon Nov 25 13:09:19 GMT 2024","Mon Nov 25 13:09:25 GMT 2024","5547","Surefire suite","Surefire test","com.example.wtf_workshop.ui.SearchProjectTest","com.example.wtf_workshop.ui.SearchProjectTest","userSearchesProjectByNameTest","User should be able to search for a project by its name",""
"passed","Mon Nov 25 13:08:51 GMT 2024","Mon Nov 25 13:08:59 GMT 2024","8342","Surefire suite","Surefire test","com.example.wtf_workshop.ui.CreateProjectTest","com.example.wtf_workshop.ui.CreateProjectTest","userCreatesProjectWithoutNameTest","User should not na able to create project without name",""
"passed","Mon Nov 25 13:09:11 GMT 2024","Mon Nov 25 13:09:19 GMT 2024","8088","Surefire suite","Surefire test","com.example.wtf_workshop.ui.CreateBuildTypeTest","com.example.wtf_workshop.ui.CreateBuildTypeTest","userCreatesProjectWithoutNameTest","User should not na able to create build type without name",""
